Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Decompression,Weight,Current,Surface Conditions,Water Type
running,2018-08-04 07:23:05,false,"Washington Running","11.01","1,292","1:40:01","167","190","4.6","161","170","9:05","8:04","193","352","1.10","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
treadmill_running,2018-08-03 11:51:35,false,"Treadmill Running","5.03","538","44:52","152","171","3.2","157","170","8:55","7:55","--","--","1.15","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-08-01 06:58:58,false,"Washington Running","6.04","622","52:06","154","176","3.4","160","168","8:37","6:42","106","110","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-07-30 11:26:46,false,"Leelanau County Running","1.94","234","58:19","96","141","1.1","115","133","30:04","2:22","218","326","0.47","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-07-29 13:00:07,false,"Leelanau County Running","9.01","938","1:19:14","159","183","3.6","161","246","8:47","7:46","385","401","1.14","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-07-28 12:49:59,false,"Leelanau County Running","3.19","353","26:53","165","180","3.2","162","168","8:26","8:02","33","36","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-07-27 10:28:16,false,"Washington Running","4.53","537","40:15","165","184","3.8","160","170","8:53","7:20","100","82","1.13","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
treadmill_running,2018-07-25 19:27:33,false,"Treadmill Running","3.12","268","27:13","136","160","2.0","157","163","8:44","7:32","--","--","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-07-23 11:08:46,false,"Boston Running","5.04","555","42:59","161","180","3.6","160","166","8:32","7:51","129","135","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-07-21 10:39:16,false,"Bourne Running","10.05","1,128","1:26:32","166","182","4.3","162","173","8:36","7:44","585","660","1.15","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
